YEAR,State,Constituency,Total_Voters,Total_Electors,Total_Turnout,Male_Electors,Male_Voters,Male_Turnout,Female_Electors,Female_Voters,Female_Turnout,Coverage_Note
2009,CHHATTISGARH,BASTAR,564711.0,1193116.0,47.330770855474235,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,BILASPUR,770024.0,1472793.0,52.28324686497017,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,DURG,905519.0,1620400.0,55.882436435448035,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,JANJGIR,737578.0,1518450.0,48.57440152787382,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,KANKER,741792.0,1296734.0,57.20463873084225,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,KORBA,745612.0,1276443.0,58.41326248018909,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,MAHASAMUND,776217.0,1369154.0,56.69318425830841,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,RAIGARH,935746.0,1432746.0,65.31136712299319,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,RAIPUR,741861.0,1578868.0,46.98689187443155,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,RAJNANDGAON,830581.0,1411051.0,58.862578319281155,,,,,,,Official constituency aggregate where source data is available.
2009,CHHATTISGARH,SARGUJA,805202.0,1306822.0,61.61527736753744,,,,,,,Official constituency aggregate where source data is available.
2009,D&N HAVELI,DADRA & NAGAR HAVELI,110363.0,150704.0,73.23163286973138,,,,,,,Official constituency aggregate where source data is available.
2009,DAMAN & DIU,DAMAN & DIU,68024.0,95382.0,71.31743934914344,,,,,,,Official constituency aggregate where source data is available.
